Search:,Year,Semester
NUFS 298 (Section 01),48999,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Jacqueline Bergman,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 02),49000,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,Jacqueline Bergman,,08/21/24-12/09/24,7,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 03),49001,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Izzie Brown,,08/21/24-12/09/24,9,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 04),49002,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,Izzie Brown,,08/21/24-12/09/24,9,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 05),49003,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Susan Chen,,08/21/24-12/09/24,7,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 06),49004,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,Susan Chen,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 07),49005,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Xi Feng,,08/21/24-12/09/24,9,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 08),49006,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,Xi Feng,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 09),49007,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,John Gieng,,08/21/24-12/09/24,7,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 10),49008,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,John Gieng,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 11),49009,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Jamie Kubota,,08/21/24-12/09/24,9,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 12),49010,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,Jamie Kubota,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 13),49011,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Kasuen Mauldin,,08/21/24-12/09/24,7,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 14),49012,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,Kasuen Mauldin,,08/21/24-12/09/24,9,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 15),49013,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Giselle Pignotti,,08/21/24-12/09/24,5,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 16),49014,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,Giselle Pignotti,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 17),49015,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Edmund Tang,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 18),49016,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,Edmund Tang,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 19),49017,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Ashwini Wagle,,08/21/24-12/09/24,7,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 20),49018,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,Edmund Tang,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 21),49019,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Adrianne Widaman,,08/21/24-12/09/24,9,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 22),49020,In Person,"Special Studies in Nutrition, Food Science and Packaging",,2.0,SUP,TBA,TBA,Adrianne Widaman,,08/21/24-12/09/24,9,RO - Not available to Open University students.,2024,Fall
NUFS 298 (Section 23),49021,In Person,"Special Studies in Nutrition, Food Science and Packaging",,1.0,SUP,TBA,TBA,Mi Zhou,,08/21/24-12/09/24,9,RO - Not available to Open University students.,2024,Fall
